Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Original Language,Overview,Popularity,Release Date,Vote Average,Vote Count
1,Avatar: The Way of Water,"$2,320,250,281","$684,075,767",29.5%,"$1,636,174,514",70.5%,en,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",366.269,2022-12-14,7.65,10257
2,Top Gun: Maverick,"$1,495,696,292","$718,732,821",48.1%,"$776,963,471",51.9%,en,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",166.031,2022-05-24,8.247,7807
3,Jurassic World Dominion,"$1,001,978,080","$376,851,080",37.6%,"$625,127,000",62.4%,en,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators ona planet they now share with history's most fearsome creatures.",173.66,2022-06-01,6.77,5344
4,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%,en,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",178.661,2022-05-04,7.343,8176
5,Minions: The Rise of Gru,"$939,628,210","$369,695,210",39.3%,"$569,933,000",60.7%,en,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",122.701,2022-06-29,7.363,3141
6,Black Panther: Wakanda Forever,"$859,208,836","$453,829,060",52.8%,"$405,379,776",47.2%,en,"Queen Ramonda, Shuri, M’Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T’Challa’s death.  As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for the kingdom of Wakanda.",200.424,2022-11-09,7.17,5669
7,The Batman,"$772,245,583","$369,345,583",47.8%,"$402,900,000",52.2%,en,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",131.888,2022-03-01,7.7,8825
8,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%,en,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",155.341,2022-07-06,6.504,6679
9,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%,zh,"In the follow-up to ""The Battle At Lake Changjin"", brothers Wu Qianli and Wu Wanli undertake a new task for the People's Volunteer Army, defending a bridge part of the American troops' escape route from the advancing Chinese.",26.578,2022-02-01,6.5,55
10,Puss in Boots: The Last Wish,"$481,080,374","$185,535,345",38.6%,"$295,545,029",61.4%,en,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",258.974,2022-12-07,8.3,6658
11,Moon Man,"$460,237,662",-,-,"$460,237,662",100%,zh,"Working as a maintenance crew member on the moon, Duguyue is left behind after the evacuation mission forgets about him. A meteorite then destroys planet Earth, leaving him as the only man left alive in existence.",14.612,2022-07-29,6.907,54
12,Fantastic Beasts: The Secrets of Dumbledore,"$407,150,844","$95,850,844",23.5%,"$311,300,000",76.5%,en,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.",113.554,2022-04-06,6.701,3922
13,Uncharted,"$407,141,258","$148,648,820",36.5%,"$258,492,438",63.5%,en,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",111.936,2022-02-10,6.986,5211
14,Sonic the Hedgehog 2,"$405,421,518","$190,872,904",47.1%,"$214,548,614",52.9%,en,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",150.832,2022-03-30,7.554,4388
15,Black Adam,"$393,252,111","$168,152,111",42.8%,"$225,100,000",57.2%,en,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",189.135,2022-10-19,6.995,5616
16,Elvis,"$287,740,048","$151,040,048",52.5%,"$136,700,000",47.5%,en,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.",48.133,2022-06-22,7.6,2863
17,The Bad Guys,"$250,162,278","$97,233,630",38.9%,"$152,928,648",61.1%,en,"When the Bad Guys, a crew of criminal animals, are finally caught after years of heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.",77.794,2022-03-17,7.611,1724
18,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%,en,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",81.454,2022-08-03,7.496,4988
19,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%,en,Legendary Space Ranger Buzz Lightyear embarks on an intergalactic adventure alongside a group of ambitious recruits and his robot companion Sox.,46.764,2022-06-15,7.037,3116
20,Smile,"$217,408,513","$105,935,048",48.7%,"$111,473,465",51.3%,en,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain. As an overwhelming terror begins taking over her life, Rose must confront her troubling past in order to survive and escape her horrifying new reality.",64.613,2022-09-23,6.689,2458
21,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%,zh,"Wei Chenggong, a working actor with big dreams, finally appears to get his big break when actress Milan invites him to play the lead role of ""Killer Karl"" in a new play. Little does Wei Chenggong know, he has fallen into a perilous conspiracy where all the villains are real, and only through his acting skills and good deal of luck will he be able to make it out alive.",5.565,2022-02-01,6.207,29
22,Nice View,"$211,019,042",-,-,"$211,019,042",100%,zh,"20-year-old Jing Hao came to Shenzhen to live with his young sister alone. The siblings live a warm yet straitened life. In an effort to pay for his sister's expensive surgery, Jing Hao gets an opportunity by chance, thinking that a better life is coming, but unexpectedly encounters a serious setback. Under the pressure of both time and money, Jing Hao, who has no way out, decides to take a desperate gamble. Can this ignite the spark of hope for his troubled ordinary life?",7.489,2022-02-01,6.435,23
23,DC League of Super-Pets,"$207,557,117","$93,657,117",45.1%,"$113,900,000",54.9%,en,"When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes.",60.527,2022-07-27,7.315,1367
24,The Lost City,"$192,907,684","$105,344,029",54.6%,"$87,563,655",45.4%,en,"Reclusive author Loretta Sage writes about exotic places in her popular adventure novels that feature a handsome cover model named Alan. While on tour promoting her new book with Alan, Loretta gets kidnapped by an eccentric billionaire who hopes she can lead him to the ancient city's lost treasure that featured in her latest story. Alan, determined to prove he can be a hero in real life and not just on the pages of her books, sets off to rescue her.",62.24,2022-03-24,6.584,3091
