Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Barbie,"$1,441,790,846","$636,190,846",44.1%,"$805,600,000",55.9%
2,The Super Mario Bros. Movie,"$1,362,059,669","$574,934,330",42.2%,"$787,125,339",57.8%
3,Oppenheimer,"$950,552,160","$325,365,160",34.2%,"$625,187,000",65.8%
4,Guardians of the Galaxy Vol. 3,"$845,555,777","$358,995,815",42.5%,"$486,559,962",57.5%
5,Fast X,"$704,709,660","$145,960,660",20.7%,"$558,749,000",79.3%
6,Spider-Man: Across the Spider-Verse,"$690,516,673","$381,311,319",55.2%,"$309,205,354",44.8%
7,The Little Mermaid,"$569,626,289","$298,172,056",52.3%,"$271,454,233",47.7%
8,Mission: Impossible - Dead Reckoning Part One,"$567,535,383","$172,135,383",30.3%,"$395,400,000",69.7%
9,Elemental,"$495,923,852","$154,426,697",31.1%,"$341,497,155",68.9%
10,Ant-Man and the Wasp: Quantumania,"$476,071,180","$214,504,909",45.1%,"$261,566,271",54.9%
11,John Wick: Chapter 4,"$440,146,694","$187,131,806",42.5%,"$253,014,888",57.5%
12,Transformers: Rise of the Beasts,"$438,966,392","$157,066,392",35.8%,"$281,900,000",64.2%
13,Meg 2: The Trench,"$395,000,317","$82,600,317",20.9%,"$312,400,000",79.1%
14,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468",45.4%,"$209,482,589",54.6%
15,Five Nights at Freddy's,"$283,680,732","$136,371,725",48.1%,"$147,309,007",51.9%
16,Creed III,"$275,248,615","$156,248,615",56.8%,"$119,000,000",43.2%
17,The Flash,"$270,633,313","$108,133,313",40%,"$162,500,000",60%
18,The Nun II,"$268,067,073","$86,267,073",32.2%,"$181,800,000",67.8%
19,Taylor Swift: The Eras Tour,"$248,933,887","$178,243,751",71.6%,"$70,690,136",28.4%
20,Sound of Freedom,"$247,801,971","$184,174,633",74.3%,"$63,627,338",25.7%
21,Dungeons & Dragons: Honor Among Thieves,"$208,177,026","$93,277,026",44.8%,"$114,900,000",55.2%
22,PAW Patrol: The Mighty Movie,"$194,131,360","$65,231,360",33.6%,"$128,900,000",66.4%
23,The Equalizer 3,"$190,687,282","$92,373,751",48.4%,"$98,313,531",51.6%
24,Insidious: The Red Door,"$189,086,877","$82,156,962",43.4%,"$106,929,915",56.6%
25,The Marvels,"$187,860,809","$77,590,648",41.3%,"$110,270,161",58.7%
26,The Hunger Games: The Ballad of Songbirds & Snakes,"$181,376,403","$103,197,294",56.9%,"$78,179,109",43.1%
27,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$180,513,586","$118,613,586",65.7%,"$61,900,000",34.3%
28,Scream VI,"$168,961,389","$108,161,389",64%,"$60,800,000",36%
29,Killers of the Flower Moon,"$152,080,574","$65,880,574",43.3%,"$86,200,000",56.7%
30,Trolls Band Together,"$148,505,391","$66,187,390",44.6%,"$82,318,001",55.4%
31,Evil Dead Rise,"$146,733,054","$67,233,054",45.8%,"$79,500,000",54.2%
32,The Exorcist: Believer,"$134,872,819","$65,535,160",48.6%,"$69,337,659",51.4%
33,Shazam! Fury of the Gods,"$133,838,006","$57,638,006",43.1%,"$76,200,000",56.9%
34,Blue Beetle,"$129,288,072","$72,488,072",56.1%,"$56,800,000",43.9%
35,Pathaan,"$128,780,000","$17,487,476",13.6%,"$95,095,974",73.8%
36,A Haunting in Venice,"$122,031,954","$42,471,412",34.8%,"$79,560,542",65.2%
37,Gran Turismo,"$121,680,477","$44,428,554",36.5%,"$77,251,923",63.5%
38,Haunted Mansion,"$117,449,790","$67,653,287",57.6%,"$49,796,503",42.4%
39,Detective Conan: Black Iron Submarine,"$106,464,725",-,-,"$106,464,725",100%
40,Saw X,"$106,226,238","$53,607,898",50.5%,"$52,618,340",49.5%
41,The Creator,"$104,181,028","$40,774,679",39.1%,"$63,406,349",60.9%
42,Talk to Me,"$91,937,138","$48,299,436",52.5%,"$43,637,702",47.5%
43,Air,"$90,060,106","$52,460,106",58.3%,"$37,600,000",41.7%
44,Cocaine Bear,"$88,032,408","$64,388,510",73.1%,"$23,643,898",26.9%
45,No Hard Feelings,"$87,246,866","$50,452,282",57.8%,"$36,794,584",42.2%
46,Napoleon,"$83,665,814","$36,211,931",43.3%,"$47,453,883",56.7%
47,The Roundup: No Way Out,"$83,410,298","$909,411",1.1%,"$82,500,887",98.9%
48,The Boy and the Heron,"$83,250,961",-,-,"$83,250,961",100%
49,The Pope's Exorcist,"$76,987,621","$20,009,380",26%,"$56,978,241",74%
50,Plane,"$74,515,586","$32,111,181",43.1%,"$42,404,405",56.9%
51,Titanic 25 Year Anniversary,"$70,157,472","$15,033,795",21.4%,"$55,123,677",78.6%
52,The Boogeyman,"$67,307,243","$43,244,282",64.2%,"$24,062,961",35.8%
53,65,"$60,730,568","$32,062,904",52.8%,"$28,667,664",47.2%
54,Magic Mike's Last Dance,"$57,105,156","$26,005,156",45.5%,"$31,100,000",54.5%
55,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,"$56,119,404","$10,117,806",18%,"$46,001,598",82%
56,Knock at the Cabin,"$54,760,947","$35,397,980",64.6%,"$19,362,967",35.4%
57,Mummies,"$54,375,970","$4,275,970",7.9%,"$50,100,000",92.1%
58,Jesus Revolution,"$54,236,400","$52,102,987",96.1%,"$2,133,413",3.9%
59,Asteroid City,"$53,830,514","$28,153,025",52.3%,"$25,677,489",47.7%
60,Wish,"$50,684,574","$33,382,831",65.9%,"$17,301,743",34.1%
61,Operation Fortune: Ruse de Guerre,"$49,091,651","$6,496,125",13.2%,"$42,595,526",86.8%
62,Missing,"$48,767,848","$32,502,025",66.6%,"$16,265,823",33.4%
63,Asterix & Obelix: The Middle Kingdom,"$46,497,678",-,-,"$46,497,678",100%
64,Ruby Gillman: Teenage Kraken,"$45,509,684","$15,753,600",34.6%,"$29,756,084",65.4%
65,80 for Brady,"$40,362,938","$39,330,588",97.4%,"$1,032,350",2.6%
66,"Miraculous: Ladybug & Cat Noir, the Movie","$39,481,300",-,-,"$39,481,300",100%
67,My Big Fat Greek Wedding 3,"$38,760,599","$28,496,030",73.5%,"$10,264,569",26.5%
68,Expend4bles,"$37,951,084","$16,710,153",44%,"$21,240,931",56%
69,Doraemon the Movie: Nobita's Sky Utopia,"$37,475,850",-,-,"$37,475,850",100%
70,Smugglers,"$36,825,379",-,-,"$36,825,379",100%
71,Kingdom 3,"$36,259,522",-,-,"$36,259,522",100%
72,Ride On,"$36,258,730","$128,950",0.4%,"$36,129,780",99.6%
73,Strays,"$35,948,970","$23,988,885",66.7%,"$11,960,085",33.3%
74,Alibi.com 2,"$34,116,327",-,-,"$34,116,327",100%
75,Don't Call it Mystery: The Movie,"$31,671,312",-,-,"$31,671,312",100%
76,The Three Musketeers - Part I: D'Artagnan,"$31,454,237",-,-,"$31,454,237",100%
77,Tokyo MER,"$30,226,383",-,-,"$30,226,383",100%
78,BTS: Yet to Come in Cinemas,"$29,291,883","$8,093,270",27.6%,"$21,198,613",72.4%
79,Thanksgiving,"$28,993,610","$25,006,147",86.2%,"$3,987,463",13.8%
80,Book Club: The Next Chapter,"$28,986,713","$17,556,340",60.6%,"$11,430,373",39.4%
81,Concrete Utopia,"$28,859,372",-,-,"$28,859,372",100%
82,Jawan,"$28,499,044","$15,198,530",53.3%,"$13,300,514",46.7%
83,Toy Story 2023 Re-release,"$27,503,758",-,-,"$27,503,758",100%
84,Renfield,"$26,348,651","$17,152,625",65.1%,"$9,196,026",34.9%
85,There's Still Tomorrow,"$26,156,056",-,-,"$26,156,056",100%
86,Interstellar 2023 Re-release,"$25,950,515",-,-,"$25,950,515",100%
87,Gravity 2023 Re-release (10th Anniversary),"$24,981,634",-,-,"$24,981,634",100%
88,The Challenge,"$24,191,807",-,-,"$24,191,807",100%
89,The Wish of the Fairy Fish,"$23,341,150",-,-,"$23,341,150",100%
90,Godzilla Minus One,"$23,130,760",-,-,"$23,130,760",100%
91,The Dark Knight 2023 Re-release,"$22,011,318",-,-,"$22,011,318",100%
